Player,Nation,Squad,Age,Born,90s,Att,Pass Types Live,Pass Types Dead,Pass Types FK,Pass Types TB,Pass Types Sw,Pass Types Crs,Pass Types TI,Pass Types CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Str,Outcomes Cmp,Outcomes Off,Outcomes Blocks,Position_2,Position,League
Max Aarons,ENG,Bournemouth,23,2000,13.7,581,453,127,11,2,3,13,116,0,0,0,0,450,1,23,,Defender,Premier League
Brenden Aaronson,USA,Union Berlin,22,2000,14.1,472,439,29,3,5,1,22,12,6,2,3,0,365,4,21,Forward,Midfielder,Bundesliga
Paxten Aaronson,USA,Eint Frankfurt,19,2003,1.1,50,48,2,1,0,0,0,1,0,0,0,0,41,0,0,,Midfielder,Bundesliga
Keyliane Abdallah,FRA,Marseille,17,2006,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,,Forward,Ligue 1
Yunis Abdelhamid,MAR,Reims,35,1987,30.9,1836,1650,178,75,2,13,3,29,0,0,0,0,1552,8,20,,Defender,Ligue 1
Salis Abdul Samed,GHA,Lens,23,2000,16.9,895,875,18,17,0,1,3,1,0,0,0,0,796,2,17,,Midfielder,Ligue 1
Nabil Aberdin,FRA,Getafe,20,2002,2.0,79,75,4,4,0,1,0,0,0,0,0,0,60,0,0,,Defender,La Liga
Laurent Abergel,FRA,Lorient,30,1993,31.8,1836,1743,88,68,6,13,34,14,0,0,0,0,1551,5,25,,Midfielder,Ligue 1
Matthis Abline,FRA,Nantes,20,2003,11.6,231,218,12,0,2,1,7,1,0,0,0,0,162,1,11,,Forward,Ligue 1
Abner,BRA,Betis,23,2000,15.6,797,628,165,7,0,3,26,158,0,0,0,0,615,4,23,,Defender,La Liga
Zakaria Aboukhlal,MAR,Toulouse,23,2000,8.4,196,185,11,1,0,0,5,9,0,0,0,0,140,0,7,Forward,Midfielder,Ligue 1
Abdel Abqar,MAR,Alavés,24,1999,25.7,762,704,55,50,0,17,2,4,0,0,0,0,553,3,10,,Defender,La Liga
Tammy Abraham,ENG,Roma,25,1997,2.7,40,37,2,0,0,0,2,0,0,0,0,0,19,1,1,,Forward,Serie A
Francesco Acerbi,ITA,Inter,35,1988,26.5,1781,1719,60,43,0,11,9,8,0,0,0,0,1615,2,5,,Defender,Serie A
Joshua Acheampong,ENG,Chelsea,17,2006,0.1,2,1,1,0,0,0,0,1,0,0,0,0,1,0,0,,Defender,Premier League
Marcos Acuña,ARG,Sevilla,31,1991,14.4,847,672,173,32,1,11,82,122,19,7,12,0,628,2,16,,Defender,La Liga
Bénie Adama Traore,CIV,Sheffield Utd,20,2002,4.3,71,65,5,0,2,0,3,0,0,0,0,0,55,1,4,Midfielder,Forward,Premier League
Bénie Adama Traore,CIV,Nantes,20,2002,5.6,148,129,18,3,4,0,20,2,6,2,3,0,99,1,11,Midfielder,Forward,Ligue 1
Akor Adams,NGA,Montpellier,23,2000,25.0,385,375,10,0,2,1,12,1,0,0,0,0,250,0,20,,Forward,Ligue 1
Tyler Adams,USA,Bournemouth,24,1999,1.3,71,67,4,3,0,1,1,1,0,0,0,0,59,0,0,,Midfielder,Premier League
Junior Adamu,AUT,Freiburg,22,2001,1.2,30,29,1,0,0,0,1,0,0,0,0,0,18,0,0,Midfielder,Forward,Bundesliga
Sargis Adamyan,ARM,Köln,30,1993,8.9,189,166,22,1,0,2,4,2,0,0,0,0,132,1,6,Midfielder,Forward,Bundesliga
Tosin Adarabioyo,ENG,Fulham,25,1997,18.0,1216,1181,33,28,1,9,1,2,0,0,0,0,1028,2,8,,Defender,Premier League
Elijah Adebayo,ENG,Luton Town,25,1998,15.8,204,202,1,0,1,0,5,1,0,0,0,0,144,1,5,,Forward,Premier League
