Player,Nation,Squad,Age,Born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Position_2,Position,League
Max Aarons,ENG,Bournemouth,23,2000,13.7,29,19,20,7,2,20,34,58.8,14,9,5,4,8,37,27,0,,Defender,Premier League
Brenden Aaronson,USA,Union Berlin,22,2000,14.1,32,18,13,13,6,16,32,50.0,16,26,1,25,2,34,4,0,Forward,Midfielder,Bundesliga
Paxten Aaronson,USA,Eint Frankfurt,19,2003,1.1,2,2,1,1,0,1,1,100.0,0,2,0,2,0,2,0,0,,Midfielder,Bundesliga
Keyliane Abdallah,FRA,Marseille,17,2006,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Forward,Ligue 1
Yunis Abdelhamid,MAR,Reims,35,1987,30.9,64,35,36,23,5,26,45,57.8,19,51,32,19,39,103,109,2,,Defender,Ligue 1
Salis Abdul Samed,GHA,Lens,23,2000,16.9,21,14,8,10,3,8,18,44.4,10,12,1,11,12,33,18,0,,Midfielder,Ligue 1
Nabil Aberdin,FRA,Getafe,20,2002,2.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,4,0,,Defender,La Liga
Laurent Abergel,FRA,Lorient,30,1993,31.8,85,52,43,34,8,38,96,39.6,58,29,6,23,61,146,61,3,,Midfielder,Ligue 1
Matthis Abline,FRA,Nantes,20,2003,11.6,9,4,4,3,2,3,8,37.5,5,3,0,3,3,12,5,0,,Forward,Ligue 1
Abner,BRA,Betis,23,2000,15.6,25,19,15,9,1,17,34,50.0,17,23,5,18,15,40,62,0,,Defender,La Liga
Zakaria Aboukhlal,MAR,Toulouse,23,2000,8.4,9,8,1,5,3,3,12,25.0,9,9,1,8,1,10,2,0,Forward,Midfielder,Ligue 1
Abdel Abqar,MAR,Alavés,24,1999,25.7,35,19,28,5,2,21,35,60.0,14,31,26,5,23,58,115,0,,Defender,La Liga
Tammy Abraham,ENG,Roma,25,1997,2.7,3,1,0,1,2,0,0,0,0,1,0,1,0,3,4,0,,Forward,Serie A
Francesco Acerbi,ITA,Inter,35,1988,26.5,22,13,16,6,0,11,14,78.6,3,20,13,7,32,54,77,1,,Defender,Serie A
Joshua Acheampong,ENG,Chelsea,17,2006,0.1,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,,Defender,Premier League
Marcos Acuña,ARG,Sevilla,31,1991,14.4,33,21,20,12,1,9,14,64.3,5,12,2,10,4,37,25,0,,Defender,La Liga
Bénie Adama Traore,CIV,Sheffield Utd,20,2002,4.3,4,2,1,2,1,0,4,0.0,4,4,1,3,1,5,1,0,Midfielder,Forward,Premier League
Bénie Adama Traore,CIV,Nantes,20,2002,5.6,8,4,2,5,1,3,7,42.9,4,3,0,3,1,9,1,0,Midfielder,Forward,Ligue 1
Akor Adams,NGA,Montpellier,23,2000,25.0,12,4,3,4,5,3,7,42.9,4,9,2,7,5,17,11,0,,Forward,Ligue 1
Tyler Adams,USA,Bournemouth,24,1999,1.3,4,3,1,3,0,2,3,66.7,1,2,0,2,4,8,2,0,,Midfielder,Premier League
Junior Adamu,AUT,Freiburg,22,2001,1.2,5,1,1,2,2,1,2,50.0,1,1,0,1,0,5,2,0,Midfielder,Forward,Bundesliga
Sargis Adamyan,ARM,Köln,30,1993,8.9,14,9,2,9,3,6,11,54.5,5,16,1,15,5,19,7,0,Midfielder,Forward,Bundesliga
Tosin Adarabioyo,ENG,Fulham,25,1997,18.0,21,11,16,5,0,12,21,57.1,9,16,11,5,25,46,80,0,,Defender,Premier League
Elijah Adebayo,ENG,Luton Town,25,1998,15.8,4,1,1,0,3,1,12,8.3,11,13,2,11,6,10,25,0,,Forward,Premier League
Karim Adeyemi,GER,Dortmund,21,2002,10.1,16,14,9,4,3,8,20,40.0,12,11,0,11,3,19,5,0,Midfielder,Forward,Bundesliga
Player,,Squad,Ag,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,,Po,Bundesliga
Simon Adingra,CIV,Brighton,21,2002,24.7,45,20,23,11,11,19,42,45.2,23,31,1,30,19,64,22,0,,Forward,Premier League
Nathaniel Adjei,GHA,Lorient,20,2002,13.8,13,9,8,3,2,6,7,85.7,1,15,8,7,18,31,64,1,,Defender,Ligue 1
Amine Adli,MAR,Leverkusen,23,2000,10.0,16,7,2,10,4,7,17,41.2,10,10,2,8,6,22,5,0,Forward,Midfielder,Bundesliga
Yacine Adli,FRA,Milan,23,2000,15.6,34,17,17,13,4,13,35,37.1,22,22,8,14,20,54,15,1,,Midfielder,Serie A
Adryelson,BRA,Lyon,25,1998,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,Forward,Defender,Ligue 1
Adson,BRA,Nantes,22,2000,2.6,7,6,1,6,0,2,2,100.0,0,5,0,5,2,9,2,0,Forward,Midfielder,Ligue 1
Michel Aebischer,SUI,Bologna,26,1997,24.8,35,20,9,20,6,15,34,44.1,19,28,6,22,12,47,22,0,,Midfielder,Serie A
Emmanuel Agbadou,CIV,Reims,26,1997,28.8,65,41,38,23,4,44,64,68.8,20,47,25,22,55,120,116,1,,Defender,Ligue 1
Julen Agirrezabala,ESP,Athletic Club,22,2000,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Goalkeeper,La Liga
Lucien Agoume,FRA,Inter,21,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Midfielder,Serie A
Lucien Agoume,FRA,Sevilla,21,2002,8.6,23,18,7,14,2,9,12,75.0,3,6,1,5,7,30,8,0,,Midfielder,La Liga
Felix Agu,GER,Werder Bremen,23,1999,17.9,45,29,28,13,4,29,41,70.7,12,27,7,20,13,58,41,0,Midfielder,Defender,Bundesliga
Nayef Aguerd,MAR,West Ham,27,1996,20.6,26,14,19,7,0,16,22,72.7,6,33,24,9,17,43,85,2,,Defender,Premier League
Ruben Aguilar,FRA,Lens,30,1993,21.4,53,31,27,23,3,27,45,60.0,18,35,5,30,26,79,46,0,,Defender,Ligue 1
Brandon Aguilera,CRC,Nott'ham Forest,20,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Forward,Premier League
Naouirou Ahamada,FRA,Crystal Palace,21,2002,3.9,13,9,5,6,2,8,17,47.1,9,3,0,3,2,15,4,0,Forward,Midfielder,Premier League
Anel Ahmedhodžić,BIH,Sheffield Utd,24,1999,29.4,64,36,48,14,2,30,49,61.2,19,43,26,17,35,99,137,2,,Defender,Premier League
Joseph Aidoo,GHA,Celta Vigo,27,1995,4.5,8,3,6,2,0,4,8,50.0,4,3,1,2,4,12,28,0,,Defender,La Liga
Ola Aina,NGA,Nott'ham Forest,26,1996,18.8,47,31,31,12,4,29,41,70.7,12,19,3,16,18,65,51,1,,Defender,Premier League
Rayan Aït-Nouri,ALG,Wolves,22,2001,25.9,71,44,41,23,7,28,49,57.1,21,32,6,26,15,86,38,0,Midfielder,Defender,Premier League
Tosin Aiyegun,BEN,Lorient,25,1998,10.0,6,4,2,3,1,3,9,33.3,6,4,1,3,2,8,8,0,Forward,Midfielder,Ligue 1
Kristoffer Ajer,NOR,Brentford,25,1998,20.4,38,21,25,9,4,23,36,63.9,13,26,11,15,25,63,79,1,,Defender,Premier League
Ludovic Ajorque,FRA,Mainz 05,29,1994,15.1,3,2,1,2,0,2,11,18.2,9,6,2,4,4,7,11,0,,Forward,Bundesliga
Manuel Akanji,SUI,Manchester City,28,1995,27.9,42,28,16,18,8,22,39,56.4,17,28,12,16,23,65,70,3,Midfielder,Defender,Premier League
Marley Aké,FRA,Udinese,22,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Forward,Serie A
Player,,Squad,Ag,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,,Po,Bundesliga
Nathan Aké,NED,Manchester City,28,1995,22.7,26,16,15,8,3,13,20,65.0,7,17,2,15,14,40,54,0,,Defender,Premier League
Ilias Akhomach,MAR,Villarreal,19,2004,16.8,36,21,11,16,9,10,20,50.0,10,10,2,8,13,49,13,0,Forward,Midfielder,La Liga
Sergio Akieme,ESP,Almería,25,1997,18.6,27,15,18,7,2,13,16,81.3,3,14,4,10,10,37,34,0,,Defender,La Liga
Sergio Akieme,ESP,Reims,25,1997,9.1,11,5,6,3,2,8,11,72.7,3,9,3,6,10,21,25,0,,Defender,Ligue 1
Ebenezer Akinsanmiro,NGA,Inter,18,2004,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,,Midfielder,Serie A
Maghnes Akliouche,FRA,Monaco,21,2002,17.9,37,23,12,20,5,12,36,33.3,24,21,0,21,9,46,3,0,Forward,Midfielder,Ligue 1
