Player,Nation,Squad,Age,Born,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Position_2,Position,League
Max Aarons,ENG,Bournemouth,23,2000,13.7,0,2,0,0.0,0.15,0.00,0.00,0,23.9,0,0,0,0.0,0.0,0.02,0.0,0.0,,Defender,Premier League
Brenden Aaronson,USA,Union Berlin,22,2000,14.1,2,18,7,38.9,1.28,0.50,0.11,0.29,18.4,0,0,0,2.0,2.0,0.11,0.0,0.0,Forward,Midfielder,Bundesliga
Paxten Aaronson,USA,Eint Frankfurt,19,2003,1.1,0,2,2,100.0,1.78,1.78,0.00,0.00,15.1,0,0,0,0.1,0.1,0.06,-0.1,-0.1,,Midfielder,Bundesliga
Keyliane Abdallah,FRA,Marseille,17,2006,0.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,,Forward,Ligue 1
Yunis Abdelhamid,MAR,Reims,35,1987,30.9,4,21,7,33.3,0.68,0.23,0.14,0.43,15.0,0,1,1,3.4,2.6,0.13,+0.6,+0.4,,Defender,Ligue 1
Salis Abdul Samed,GHA,Lens,23,2000,16.9,0,5,0,0.0,0.30,0.00,0.00,0,21.6,0,0,0,0.8,0.8,0.17,-0.8,-0.8,,Midfielder,Ligue 1
Nabil Aberdin,FRA,Getafe,20,2002,2.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,,Defender,La Liga
Laurent Abergel,FRA,Lorient,30,1993,31.8,2,26,11,42.3,0.82,0.35,0.08,0.18,26.5,0,0,0,1.1,1.1,0.04,+0.9,+0.9,,Midfielder,Ligue 1
Matthis Abline,FRA,Nantes,20,2003,11.6,5,42,19,45.2,3.62,1.64,0.12,0.26,17.4,0,0,0,3.8,3.8,0.09,+1.2,+1.2,,Forward,Ligue 1
Abner,BRA,Betis,23,2000,15.6,0,4,0,0.0,0.26,0.00,0.00,0,15.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,,Defender,La Liga
Zakaria Aboukhlal,MAR,Toulouse,23,2000,8.4,3,27,7,25.9,3.22,0.84,0.07,0.29,18.7,0,1,1,2.8,2.0,0.07,+0.2,0.0,Forward,Midfielder,Ligue 1
Abdel Abqar,MAR,Alavés,24,1999,25.7,0,10,3,30.0,0.39,0.12,0.00,0.00,12.1,0,0,0,0.5,0.5,0.05,-0.5,-0.5,,Defender,La Liga
Tammy Abraham,ENG,Roma,25,1997,2.7,1,4,2,50.0,1.49,0.74,0.25,0.50,11.9,0,0,0,0.6,0.6,0.15,+0.4,+0.4,,Forward,Serie A
Francesco Acerbi,ITA,Inter,35,1988,26.5,3,15,6,40.0,0.57,0.23,0.20,0.50,12.0,0,0,0,1.6,1.6,0.11,+1.4,+1.4,,Defender,Serie A
Joshua Acheampong,ENG,Chelsea,17,2006,0.1,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,,Defender,Premier League
Marcos Acuña,ARG,Sevilla,31,1991,14.4,1,9,4,44.4,0.63,0.28,0.11,0.25,27.9,0,0,0,0.3,0.3,0.03,+0.7,+0.7,,Defender,La Liga
Bénie Adama Traore,CIV,Sheffield Utd,20,2002,4.3,0,1,1,100.0,0.23,0.23,0.00,0.00,15.3,0,0,0,0.3,0.3,0.27,-0.3,-0.3,Midfielder,Forward,Premier League
Bénie Adama Traore,CIV,Nantes,20,2002,5.6,0,7,4,57.1,1.25,0.71,0.00,0.00,18.7,1,0,0,0.7,0.7,0.10,-0.7,-0.7,Midfielder,Forward,Ligue 1
Akor Adams,NGA,Montpellier,23,2000,25.0,8,79,32,40.5,3.16,1.28,0.10,0.25,14.5,0,0,0,12.4,12.4,0.16,-4.4,-4.4,,Forward,Ligue 1
Tyler Adams,USA,Bournemouth,24,1999,1.3,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,,Midfielder,Premier League
