Player,Nation,Squad,Age,Born,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,Position_2,Position,League
Max Aarons,ENG,Bournemouth,23,2000,13.7,450,581,77.5,7402,2789,220,248,88.7,188,235,80.0,34,63,54.0,1,0.8,0.9,+0.2,7,25,13,2,43,,Defender,Premier League
Brenden Aaronson,USA,Union Berlin,22,2000,14.1,365,472,77.3,4890,1506,206,240,85.8,105,130,80.8,19,32,59.4,2,1.9,2.0,+0.1,22,30,14,3,56,Forward,Midfielder,Bundesliga
Paxten Aaronson,USA,Eint Frankfurt,19,2003,1.1,41,50,82.0,576,71,20,25,80.0,20,22,90.9,0,2,0.0,1,0.1,0.1,+0.9,1,4,2,0,5,,Midfielder,Bundesliga
Keyliane Abdallah,FRA,Marseille,17,2006,0.0,1,1,100.0,8,0,1,1,100.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,,Forward,Ligue 1
Yunis Abdelhamid,MAR,Reims,35,1987,30.9,1552,1836,84.5,29618,9672,487,548,88.9,893,976,91.5,141,252,56.0,0,0.3,0.6,-0.3,8,129,3,0,137,,Defender,Ligue 1
Salis Abdul Samed,GHA,Lens,23,2000,16.9,796,895,88.9,12470,3008,393,433,90.8,330,360,91.7,41,54,75.9,0,0.5,1.1,-0.5,6,87,5,2,78,,Midfielder,Ligue 1
Nabil Aberdin,FRA,Getafe,20,2002,2.0,60,79,75.9,1159,426,22,26,84.6,29,34,85.3,7,17,41.2,0,0.0,0.0,0.0,0,4,0,0,7,,Defender,La Liga
Laurent Abergel,FRA,Lorient,30,1993,31.8,1551,1836,84.5,27382,8613,629,707,89.0,711,802,88.7,150,233,64.4,1,2.2,1.9,-1.2,30,188,23,3,194,,Midfielder,Ligue 1
Matthis Abline,FRA,Nantes,20,2003,11.6,162,231,70.1,2410,448,91,128,71.1,52,68,76.5,9,11,81.8,0,2.0,0.9,-2.0,17,6,7,2,20,,Forward,Ligue 1
Abner,BRA,Betis,23,2000,15.6,615,797,77.2,9211,4552,351,394,89.1,203,265,76.6,37,79,46.8,1,1.0,1.0,0.0,8,20,7,2,33,,Defender,La Liga
Zakaria Aboukhlal,MAR,Toulouse,23,2000,8.4,140,196,71.4,2025,599,70,95,73.7,53,66,80.3,6,8,75.0,0,0.2,1.1,-0.2,5,10,9,1,20,Forward,Midfielder,Ligue 1
Abdel Abqar,MAR,Alavés,24,1999,25.7,553,762,72.6,12370,4872,141,164,86.0,302,339,89.1,99,225,44.0,0,0.2,0.2,-0.2,3,61,2,0,49,,Defender,La Liga
Tammy Abraham,ENG,Roma,25,1997,2.7,19,40,47.5,231,75,14,25,56.0,4,9,44.4,0,1,0.0,0,0.1,0.0,-0.1,3,1,1,0,4,,Forward,Serie A
Francesco Acerbi,ITA,Inter,35,1988,26.5,1615,1781,90.7,29326,9174,601,650,92.5,856,908,94.3,132,179,73.7,1,1.8,1.3,-0.8,7,58,5,2,87,,Defender,Serie A
Joshua Acheampong,ENG,Chelsea,17,2006,0.1,1,2,50.0,18,7,0,0,0,1,1,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,,Defender,Premier League
Marcos Acuña,ARG,Sevilla,31,1991,14.4,628,847,74.1,12126,4928,260,297,87.5,262,328,79.9,94,183,51.4,2,1.5,2.1,+0.5,23,52,19,12,59,,Defender,La Liga
