Player,Nation,Squad,Age,Born,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Position_2,Position,League
Max Aarons,ENG,Bournemouth,23,2000,13.7,711,43,252,303,165,11,711,34,14,41.2,12,35.3,364,2174,1121,22,12,7,13,8,371,26,,Defender,Premier League
Brenden Aaronson,USA,Union Berlin,22,2000,14.1,675,11,108,301,293,47,675,77,34,44.2,41,53.2,406,2721,1387,37,29,9,41,38,457,91,Forward,Midfielder,Bundesliga
Paxten Aaronson,USA,Eint Frankfurt,19,2003,1.1,72,0,6,39,28,5,72,7,2,28.6,4,57.1,43,193,50,2,0,1,5,4,46,7,,Midfielder,Bundesliga
Keyliane Abdallah,FRA,Marseille,17,2006,0.0,1,0,0,1,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,,Forward,Ligue 1
Yunis Abdelhamid,MAR,Reims,35,1987,30.9,2185,293,976,1119,114,35,2184,15,8,53.3,7,46.7,1506,8663,4921,36,19,0,23,4,1403,9,,Defender,Ligue 1
Salis Abdul Samed,GHA,Lens,23,2000,16.9,1022,21,168,647,218,7,1022,19,7,36.8,11,57.9,823,4361,1683,9,33,0,23,11,780,20,,Midfielder,Ligue 1
Nabil Aberdin,FRA,Getafe,20,2002,2.0,87,4,37,49,1,1,87,0,0,0,0,0,47,326,183,0,0,0,1,1,54,0,,Defender,La Liga
Laurent Abergel,FRA,Lorient,30,1993,31.8,2164,105,553,1288,349,10,2164,65,44,67.7,18,27.7,1649,8707,3892,38,49,3,32,30,1502,51,,Midfielder,Ligue 1
Matthis Abline,FRA,Nantes,20,2003,11.6,386,9,36,153,209,65,386,33,19,57.6,14,42.4,294,1979,906,28,24,14,50,14,287,87,,Forward,Ligue 1
Abner,BRA,Betis,23,2000,15.6,966,72,344,405,226,28,966,13,7,53.8,5,38.5,447,1802,949,14,10,5,18,11,502,58,,Defender,La Liga
Zakaria Aboukhlal,MAR,Toulouse,23,2000,8.4,305,1,27,123,161,38,304,31,8,25.8,22,71.0,233,1651,745,23,13,8,22,12,229,75,Forward,Midfielder,Ligue 1
Abdel Abqar,MAR,Alavés,24,1999,25.7,1032,191,570,422,42,21,1032,5,3,60.0,1,20.0,492,2460,1418,7,6,0,15,1,499,1,,Defender,La Liga
Tammy Abraham,ENG,Roma,25,1997,2.7,69,4,4,31,34,9,69,6,2,33.3,4,66.7,37,208,111,6,2,2,9,2,53,15,,Forward,Serie A
Francesco Acerbi,ITA,Inter,35,1988,26.5,1977,219,941,946,98,25,1977,3,2,66.7,1,33.3,1211,5779,3081,21,11,0,4,1,1446,24,,Defender,Serie A
Joshua Acheampong,ENG,Chelsea,17,2006,0.1,6,5,5,0,1,0,6,0,0,0,0,0,1,18,12,0,0,0,0,0,0,0,,Defender,Premier League
Marcos Acuña,ARG,Sevilla,31,1991,14.4,984,33,270,476,253,10,984,21,10,47.6,8,38.1,473,2266,1224,23,20,4,20,16,546,42,,Defender,La Liga
Bénie Adama Traore,CIV,Sheffield Utd,20,2002,4.3,112,2,19,49,48,9,112,22,5,22.7,15,68.2,72,462,174,7,5,3,10,7,69,14,Midfielder,Forward,Premier League
Bénie Adama Traore,CIV,Nantes,20,2002,5.6,212,4,19,91,110,23,212,25,13,52.0,11,44.0,152,1195,585,23,15,7,19,9,140,45,Midfielder,Forward,Ligue 1
Akor Adams,NGA,Montpellier,23,2000,25.0,638,17,61,266,323,118,638,44,14,31.8,26,59.1,442,2673,1004,40,23,22,68,30,472,127,,Forward,Ligue 1
Tyler Adams,USA,Bournemouth,24,1999,1.3,91,3,23,54,14,4,91,3,2,66.7,0,0.0,44,193,116,4,1,2,3,0,52,1,,Midfielder,Premier League
Junior Adamu,AUT,Freiburg,22,2001,1.2,54,2,7,32,18,6,54,3,0,0.0,2,66.7,29,141,48,1,1,0,5,5,33,5,Midfielder,Forward,Bundesliga
Sargis Adamyan,ARM,Köln,30,1993,8.9,312,8,30,151,136,52,312,18,7,38.9,10,55.6,162,814,344,15,9,5,27,17,183,42,Midfielder,Forward,Bundesliga
Tosin Adarabioyo,ENG,Fulham,25,1997,18.0,1390,181,713,631,48,29,1390,3,1,33.3,0,0.0,817,4560,2661,10,12,1,4,4,1009,5,,Defender,Premier League
